signed_label,goal_number,view_description,signatures_number,nodepetition_link/_text,nodepetition_link,signatures_number/_source,view_label,goal_number/_source,nodepetition_link/_source,goal_label,pageUrl,fielditem_value
signed,100000,"repatriate Dr. Aafia Siddiqui, imprisoned for more than 11 years, as a matter of urgency.",110407,"repatriate Dr. Aafia Siddiqui, imprisoned for more than 11 years, as a matter of urgency.",https://petitions.whitehouse.gov/petition/repatriate-dr-aafia-siddiqui-imprisoned-more-11-years-matter-urgency,"110,407",View,"100,000",/petition/repatriate-dr-aafia-siddiqui-imprisoned-more-11-years-matter-urgency,goal,https://petitions.whitehouse.gov/responses?page=1,Foreign Policy
signed,100000,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang!,123980,Demand Brooklyn District Attorney Kenneth P. Thompson to withdraw indictment against Asian minority Officer Peter Liang!,https://petitions.whitehouse.gov/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang,"123,980",View,"100,000",/petition/demand-brooklyn-district-attorney-kenneth-p-thompson-withdraw-indictment-against-asian-minority-officer-peter-liang,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,Condemn the Apartheid State of Israel for their Human Rights Violations against the Palestinian peoples.,130812,Condemn the Apartheid State of Israel for their Human Rights Violations against the Palestinian peoples.,https://petitions.whitehouse.gov/petition/condemn-apartheid-state-israel-their-human-rights-violations-against-palestinian-peoples,"130,812",View,"100,000",/petition/condemn-apartheid-state-israel-their-human-rights-violations-against-palestinian-peoples,goal,https://petitions.whitehouse.gov/responses?page=1,Foreign Policy
signed,100000,Support Kurdish Independence,107136,Support Kurdish Independence,https://petitions.whitehouse.gov/petition/support-kurdish-independence,"107,136",View,"100,000",/petition/support-kurdish-independence,goal,https://petitions.whitehouse.gov/responses?page=1,Foreign Policy
signed,100000,File charges against the 47 U.S. Senators in violation of The Logan Act in attempting to undermine a nuclear agreement.,322116,File charges against the 47 U.S. Senators in violation of The Logan Act in attempting to undermine a nuclear agreement.,https://petitions.whitehouse.gov/petition/file-charges-against-47-us-senators-violation-logan-act-attempting-undermine-nuclear-agreement,"322,116",View,"100,000",/petition/file-charges-against-47-us-senators-violation-logan-act-attempting-undermine-nuclear-agreement,goal,https://petitions.whitehouse.gov/responses?page=1,Foreign Policy
signed,100000,The undersigned hereby implore the Obama administration to return Kelly Rutherford’s children safely to the U.S.A.,119222,The undersigned hereby implore the Obama administration to return Kelly Rutherford’s children safely to the U.S.A.,https://petitions.whitehouse.gov/petition/step-and-prevent-monaco-gaining-jurisdiction-over-usa-kelly-rutherfords-california-child-custody-case,"119,222",View,"100,000",/petition/step-and-prevent-monaco-gaining-jurisdiction-over-usa-kelly-rutherfords-california-child-custody-case,goal,https://petitions.whitehouse.gov/responses?page=1,Immigration
signed,25000,"Invite Neal Boortz, the author of The FairTax Book, to spend one hour talking with the President about tax reform.",32421,"Invite Neal Boortz, the author of The FairTax Book, to spend one hour talking with the President about tax reform.",https://petitions.whitehouse.gov/petition/invite-neal-boortz-author-fairtax-book-spend-one-hour-talking-president-about-tax-reform,"32,421",View,"25,000",/petition/invite-neal-boortz-author-fairtax-book-spend-one-hour-talking-president-about-tax-reform,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,Award Yogi Berra The Presidential Medal of Freedom for his military service and civil rights and educational activism.,111627,Award Yogi Berra The Presidential Medal of Freedom for his military service and civil rights and educational activism.,https://petitions.whitehouse.gov/petition/award-yogi-berra-presidential-medal-freedom-his-military-service-and-civil-rights-and-educational-activism,"111,627",View,"100,000",/petition/award-yogi-berra-presidential-medal-freedom-his-military-service-and-civil-rights-and-educational-activism,goal,https://petitions.whitehouse.gov/responses?page=1,Education
signed,100000,Invest and deport Jasmine Sun who was the main suspect of a famous Thallium poison murder case (victim:Zhu Lin) in China,151411,Invest and deport Jasmine Sun who was the main suspect of a famous Thallium poison murder case (victim:Zhu Lin) in China,https://petitions.whitehouse.gov/petition/invest-and-deport-jasmine-sun-who-was-main-suspect-famous-thallium-poison-murder-case-victimzhu-lin-china,"151,411",View,"100,000",/petition/invest-and-deport-jasmine-sun-who-was-main-suspect-famous-thallium-poison-murder-case-victimzhu-lin-china,goal,https://petitions.whitehouse.gov/responses?page=1,Immigration
signed,100000,Help the young victims(American citizens) of sex abuse and their mother in South Korea,148614,Help the young victims(American citizens) of sex abuse and their mother in South Korea,https://petitions.whitehouse.gov/petition/help-young-victimsamerican-citizens-sex-abuse-and-their-mother-south-korea,"148,614",View,"100,000",/petition/help-young-victimsamerican-citizens-sex-abuse-and-their-mother-south-korea,goal,https://petitions.whitehouse.gov/responses?page=1,
signed,100000,Declare Sickle Cell Disease a national health priority and support legislation to expand and establish SCD programs.,124206,Declare Sickle Cell Disease a national health priority and support legislation to expand and establish SCD programs.,https://petitions.whitehouse.gov/petition/declare-sickle-cell-disease-national-health-priority-and-support-legislation-expand-and-establish-scd-programs,"124,206",View,"100,000",/petition/declare-sickle-cell-disease-national-health-priority-and-support-legislation-expand-and-establish-scd-programs,goal,https://petitions.whitehouse.gov/responses?page=2,Health Care
signed,100000,Position yourself against the Bolivarian communist expansion in Brazil promoted by the administration of Dilma Rousseff,143516,Position yourself against the Bolivarian communist expansion in Brazil promoted by the administration of Dilma Rousseff,https://petitions.whitehouse.gov/petition/position-yourself-against-bolivarian-communist-expansion-brazil-promoted-administration-dilma-rousseff,"143,516",View,"100,000",/petition/position-yourself-against-bolivarian-communist-expansion-brazil-promoted-administration-dilma-rousseff,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,To take out Alejandro García-Padilla from the governorship of Puerto Rico: Now!,105049,To take out Alejandro García-Padilla from the governorship of Puerto Rico: Now!,https://petitions.whitehouse.gov/petition/take-out-alejandro-garc%C3%ADa-padilla-governorship-puerto-rico-now,"105,049",View,"100,000",/petition/take-out-alejandro-garc%C3%ADa-padilla-governorship-puerto-rico-now,goal,https://petitions.whitehouse.gov/responses?page=2,
signed,100000,"Demand the President step in & oppose EPA’s approval of the New 2,4-D resistant Genetically Engineered Crops!",121234,"Demand the President step in & oppose EPA’s approval of the New 2,4-D resistant Genetically Engineered Crops!",https://petitions.whitehouse.gov/petition/demand-president-step-oppose-epa%E2%80%99s-approval-new-24-d-resistant-genetically-engineered-crops-0,"121,234",View,"100,000",/petition/demand-president-step-oppose-epa%E2%80%99s-approval-new-24-d-resistant-genetically-engineered-crops-0,goal,https://petitions.whitehouse.gov/responses?page=2,
signed,100000,Enact Leelah's Law to Ban All LGBTQ+ Conversion Therapy,120958,Enact Leelah's Law to Ban All LGBTQ+ Conversion Therapy,https://petitions.whitehouse.gov/petition/enact-leelahs-law-ban-all-lgbtq-conversion-therapy,"120,958",View,"100,000",/petition/enact-leelahs-law-ban-all-lgbtq-conversion-therapy,goal,https://petitions.whitehouse.gov/responses?page=2,Health Care
signed,100000,Make the release of Malaysian Opposition Leader Anwar Ibrahim from prison a top priority for US policy toward Malaysia,113846,Make the release of Malaysian Opposition Leader Anwar Ibrahim from prison a top priority for US policy toward Malaysia,https://petitions.whitehouse.gov/petition/make-release-malaysian-opposition-leader-anwar-ibrahim-prison-top-priority-us-policy-toward-malaysia,"113,846",View,"100,000",/petition/make-release-malaysian-opposition-leader-anwar-ibrahim-prison-top-priority-us-policy-toward-malaysia,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,"Question Modi ""WHY Indian constitution labels ""Sikhs"" as Hindus?"" while attending Constitution Day events on January 26.",125050,"Question Modi ""WHY Indian constitution labels ""Sikhs"" as Hindus?"" while attending Constitution Day events on January 26.",https://petitions.whitehouse.gov/petition/question-modi-why-indian-constitution-labels-sikhs-hindus-while-attending-constitution-day-events-january-26,"125,050",View,"100,000",/petition/question-modi-why-indian-constitution-labels-sikhs-hindus-while-attending-constitution-day-events-january-26,goal,https://petitions.whitehouse.gov/responses?page=2,
signed,25000,Investigate and publicly condemn organ harvesting from Falun Gong believers in China,34009,Investigate and publicly condemn organ harvesting from Falun Gong believers in China,https://petitions.whitehouse.gov/petition/investigate-and-publicly-condemn-organ-harvesting-falun-gong-believers-china,"34,009",View,"25,000",/petition/investigate-and-publicly-condemn-organ-harvesting-falun-gong-believers-china,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,Stop Apache Land Grab,104646,Stop Apache Land Grab,https://petitions.whitehouse.gov/petition/stop-apache-land-grab,"104,646",View,"100,000",/petition/stop-apache-land-grab,goal,https://petitions.whitehouse.gov/responses?page=2,
signed,25000,Remove United States District Attorney Carmen Ortiz from office for overreach in the case of Aaron Swartz.,61179,Remove United States District Attorney Carmen Ortiz from office for overreach in the case of Aaron Swartz.,https://petitions.whitehouse.gov/petition/remove-united-states-district-attorney-carmen-ortiz-office-overreach-case-aaron-swartz,"61,179",View,"25,000",/petition/remove-united-states-district-attorney-carmen-ortiz-office-overreach-case-aaron-swartz,goal,https://petitions.whitehouse.gov/responses?page=2,
signed,25000,Fire Assistant U.S. Attorney Steve Heymann.,28964,Fire Assistant U.S. Attorney Steve Heymann.,https://petitions.whitehouse.gov/petition/fire-assistant-us-attorney-steve-heymann,"28,964",View,"25,000",/petition/fire-assistant-us-attorney-steve-heymann,goal,https://petitions.whitehouse.gov/responses?page=2,
signed,100000,put sanctions on China for invading Vietnam territory with the deployment of oil rig Haiyang 981.,139554,put sanctions on China for invading Vietnam territory with the deployment of oil rig Haiyang 981.,https://petitions.whitehouse.gov/petition/put-sanctions-china-invading-vietnam-territory-deployment-oil-rig-haiyang-981,"139,554",View,"100,000",/petition/put-sanctions-china-invading-vietnam-territory-deployment-oil-rig-haiyang-981,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,Provide necessary assistance to prevent Taiwanese people from being murdered by Philippines and rebuild friendship.,115741,Provide necessary assistance to prevent Taiwanese people from being murdered by Philippines and rebuild friendship.,https://petitions.whitehouse.gov/petition/provide-necessary-assistance-prevent-taiwanese-people-being-murdered-philippines-and,"115,741",View,"100,000",/petition/provide-necessary-assistance-prevent-taiwanese-people-being-murdered-philippines-and,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,"Allow Ukrainian Citizens 90 day entrance into the USA on passport, without Visa.",108333,"Allow Ukrainian Citizens 90 day entrance into the USA on passport, without Visa.",https://petitions.whitehouse.gov/petition/allow-ukrainian-citizens-90-day-entrance-usa-passport-without-visa,"108,333",View,"100,000",/petition/allow-ukrainian-citizens-90-day-entrance-usa-passport-without-visa,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,"Designate Russia as ""State Sponsor of Terrorism""",105684,"Designate Russia as ""State Sponsor of Terrorism""",https://petitions.whitehouse.gov/petition/designate-russia-state-sponsor-terrorism,"105,684",View,"100,000",/petition/designate-russia-state-sponsor-terrorism,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,Declare Muslim Brotherhood organization as a terrorist group,213146,Declare Muslim Brotherhood organization as a terrorist group,https://petitions.whitehouse.gov/petition/declare-muslim-brotherhood-organization-terrorist-group,"213,146",View,"100,000",/petition/declare-muslim-brotherhood-organization-terrorist-group,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,25000,Remove the monument and not to support any international harassment related to this issue against the people of Japan.,47525,Remove the monument and not to support any international harassment related to this issue against the people of Japan.,https://petitions.whitehouse.gov/petition/remove-monument-and-not-support-any-international-harassment-related-issue-against-people,"47,525",View,"25,000",/petition/remove-monument-and-not-support-any-international-harassment-related-issue-against-people,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,"Remove offensive state in Glendale, CA public park",129649,"Remove offensive state in Glendale, CA public park",https://petitions.whitehouse.gov/petition/remove-offensive-state-glendale-ca-public-park,"129,649",View,"100,000",/petition/remove-offensive-state-glendale-ca-public-park,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,100000,Please Protect The Peace Monument in Glendale Central Library,106967,Please Protect The Peace Monument in Glendale Central Library,https://petitions.whitehouse.gov/petition/please-protect-peace-monument-glendale-central-library,"106,967",View,"100,000",/petition/please-protect-peace-monument-glendale-central-library,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,25000,There are election rigging made by Progressive Program that have been used in the 18th Presidential Election of S. KOREA,26804,There are election rigging made by Progressive Program that have been used in the 18th Presidential Election of S. KOREA,https://petitions.whitehouse.gov/petition/there-are-election-rigging-made-progressive-program-have-been-used-18th-presidential,"26,804",View,"25,000",/petition/there-are-election-rigging-made-progressive-program-have-been-used-18th-presidential,goal,https://petitions.whitehouse.gov/responses?page=2,Foreign Policy
signed,25000,Persuade South Korea (the ROK) to accept Japan's proposal on territorial dispute over islets.,42049,Persuade South Korea (the ROK) to accept Japan's proposal on territorial dispute over islets.,https://petitions.whitehouse.gov/petition/persuade-south-korea-rok-accept-japans-proposal-territorial-dispute-over-islets,"42,049",View,"25,000",/petition/persuade-south-korea-rok-accept-japans-proposal-territorial-dispute-over-islets,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,25000,oppose the petition created by “Hisa A”on Japan’s proposal to take Japan’s claim over Dokdo (or Takeshima) to the ICJ.,31614,oppose the petition created by “Hisa A”on Japan’s proposal to take Japan’s claim over Dokdo (or Takeshima) to the ICJ.,https://petitions.whitehouse.gov/petition/oppose-petition-created-%E2%80%9Chisa-a%E2%80%9D-japan%E2%80%99s-proposal-take-japan%E2%80%99s-claim-over-dokdo-or,"31,614",View,"25,000",/petition/oppose-petition-created-%E2%80%9Chisa-a%E2%80%9D-japan%E2%80%99s-proposal-take-japan%E2%80%99s-claim-over-dokdo-or,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,25000,Repeal the House of Representatives Resolution 121 to stop aggravating int'l harassment by Korean propaganda & lies!,46547,Repeal the House of Representatives Resolution 121 to stop aggravating int'l harassment by Korean propaganda & lies!,https://petitions.whitehouse.gov/petition/repeal-house-representatives-resolution-121-stop-aggravating-intl-harassment-korean,"46,547",View,"25,000",/petition/repeal-house-representatives-resolution-121-stop-aggravating-intl-harassment-korean,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,"Use all legal means to free ukrainian soldier Nadiya Savchenko, who is a political prisoner of the Kremlin regime.",105385,"Use all legal means to free ukrainian soldier Nadiya Savchenko, who is a political prisoner of the Kremlin regime.",https://petitions.whitehouse.gov/petition/use-all-legal-means-free-ukrainian-soldier-nadiya-savchenko-who-political-prisoner-kremlin,"105,385",View,"100,000",/petition/use-all-legal-means-free-ukrainian-soldier-nadiya-savchenko-who-political-prisoner-kremlin,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,Stop SOPA 2013,119106,Stop SOPA 2013,https://petitions.whitehouse.gov/petition/stop-sopa-2013,"119,106",View,"100,000",/petition/stop-sopa-2013,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,100000,Stop SOPA 2014.,113909,Stop SOPA 2014.,https://petitions.whitehouse.gov/petition/stop-sopa-2014,"113,909",View,"100,000",/petition/stop-sopa-2014,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,100000,Support Hong Kong Democracy and Prevent A Second Tiananmen Massacre in Hong Kong,197001,Support Hong Kong Democracy and Prevent A Second Tiananmen Massacre in Hong Kong,https://petitions.whitehouse.gov/petition/support-hong-kong-democracy-and-prevent-second-tiananmen-massacre-hong-kong,"197,001",View,"100,000",/petition/support-hong-kong-democracy-and-prevent-second-tiananmen-massacre-hong-kong,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,"Mike Brown Law. Requires all state, county, and local police to wear a camera.",154747,"Mike Brown Law. Requires all state, county, and local police to wear a camera.",https://petitions.whitehouse.gov/petition/mike-brown-law-requires-all-state-county-and-local-police-wear-camera,"154,747",View,"100,000",/petition/mike-brown-law-requires-all-state-county-and-local-police-wear-camera,goal,https://petitions.whitehouse.gov/responses?page=3,Urban Policy
signed,100000,Demand Release of U.S.M.C. Sgt. Tahmooressi Suffering with PTSD from Mexico Imprisonment,134936,Demand Release of U.S.M.C. Sgt. Tahmooressi Suffering with PTSD from Mexico Imprisonment,https://petitions.whitehouse.gov/petition/demand-release-usmc-sgt-tahmooressi-suffering-ptsd-mexico-imprisonment,"134,936",View,"100,000",/petition/demand-release-usmc-sgt-tahmooressi-suffering-ptsd-mexico-imprisonment,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,"Urge the FDA to Say YES to Accelerated Approval for safe, effective therapies for children with Duchenne.",106782,"Urge the FDA to Say YES to Accelerated Approval for safe, effective therapies for children with Duchenne.",https://petitions.whitehouse.gov/petition/urge-fda-say-yes-accelerated-approval-safe-effective-therapies-children-duchenne,"106,782",View,"100,000",/petition/urge-fda-say-yes-accelerated-approval-safe-effective-therapies-children-duchenne,goal,https://petitions.whitehouse.gov/responses?page=3,Health Care
signed,100000,allow Tesla Motors to sell directly to consumers in all 50 states.,138469,allow Tesla Motors to sell directly to consumers in all 50 states.,https://petitions.whitehouse.gov/petition/allow-tesla-motors-sell-directly-consumers-all-50-states,"138,469",View,"100,000",/petition/allow-tesla-motors-sell-directly-consumers-all-50-states,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,100000,Legally Recognize Non-Binary Genders,103202,Legally Recognize Non-Binary Genders,https://petitions.whitehouse.gov/petition/legally-recognize-non-binary-genders-0,"103,202",View,"100,000",/petition/legally-recognize-non-binary-genders-0,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,25000,Not Allow The FDA To Regulate Premium Cigars,40694,Not Allow The FDA To Regulate Premium Cigars,https://petitions.whitehouse.gov/petition/not-allow-fda-regulate-premium-cigars,"40,694",View,"25,000",/petition/not-allow-fda-regulate-premium-cigars,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,100000,Oppose Trade Agreement Between Taiwan and China,118630,Oppose Trade Agreement Between Taiwan and China,https://petitions.whitehouse.gov/petition/oppose-trade-agreement-between-taiwan-and-china,"118,630",View,"100,000",/petition/oppose-trade-agreement-between-taiwan-and-china,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,25000,"Prevent the FDA from regulating or banning the sale and use of electronic cigarettes, accessories and associated liquids",36009,"Prevent the FDA from regulating or banning the sale and use of electronic cigarettes, accessories and associated liquids",https://petitions.whitehouse.gov/petition/prevent-fda-regulating-or-banning-sale-and-use-electronic-cigarettes-accessories-and,"36,009",View,"25,000",/petition/prevent-fda-regulating-or-banning-sale-and-use-electronic-cigarettes-accessories-and,goal,https://petitions.whitehouse.gov/responses?page=3,Health Care
signed,100000,Deport Justin Bieber and revoke his green card.,273968,Deport Justin Bieber and revoke his green card.,https://petitions.whitehouse.gov/petition/deport-justin-bieber-and-revoke-his-green-card,"273,968",View,"100,000",/petition/deport-justin-bieber-and-revoke-his-green-card,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,100000,Declare Major League Baseball Opening Day a national holiday.,102919,Declare Major League Baseball Opening Day a national holiday.,https://petitions.whitehouse.gov/petition/declare-major-league-baseball-opening-day-national-holiday,"102,919",View,"100,000",/petition/declare-major-league-baseball-opening-day-national-holiday,goal,https://petitions.whitehouse.gov/responses?page=3,
signed,100000,Impose personal sanctions on President of Ukraine Viktor Yanukovych and Cabinet of Ministers of Ukraine members,140343,Impose personal sanctions on President of Ukraine Viktor Yanukovych and Cabinet of Ministers of Ukraine members,https://petitions.whitehouse.gov/petition/impose-personal-sanctions-president-ukraine-viktor-yanukovych-and-cabinet-ministers-ukraine,"140,343",View,"100,000",/petition/impose-personal-sanctions-president-ukraine-viktor-yanukovych-and-cabinet-ministers-ukraine,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,Petition for an offer of assistance to Ukrainian law enforcement agencies dealing with mass riots in the country.,108755,Petition for an offer of assistance to Ukrainian law enforcement agencies dealing with mass riots in the country.,https://petitions.whitehouse.gov/petition/petition-offer-assistance-ukrainian-law-enforcement-agencies-dealing-mass-riots-country-0,"108,755",View,"100,000",/petition/petition-offer-assistance-ukrainian-law-enforcement-agencies-dealing-mass-riots-country-0,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,USE ALL LEGITIMATE CONSTITUTIONAL MEANS TO FREE YULIA TYMOSHENKO NOW. SHE IS POLITICAL PRISONER OF UKRAINIAN REGIME,137987,USE ALL LEGITIMATE CONSTITUTIONAL MEANS TO FREE YULIA TYMOSHENKO NOW. SHE IS POLITICAL PRISONER OF UKRAINIAN REGIME,https://petitions.whitehouse.gov/petition/use-all-legitimate-constitutional-means-free-yulia-tymoshenko-now-she-political-prisoner,"137,987",View,"100,000",/petition/use-all-legitimate-constitutional-means-free-yulia-tymoshenko-now-she-political-prisoner,goal,https://petitions.whitehouse.gov/responses?page=3,Foreign Policy
signed,100000,"Restore Net Neutrality By Directing the FCC to Classify Internet Providers as ""Common Carriers"".",105572,"Restore Net Neutrality By Directing the FCC to Classify Internet Providers as ""Common Carriers"".",https://petitions.whitehouse.gov/petition/restore-net-neutrality-directing-fcc-classify-internet-providers-common-carriers,"105,572",View,"100,000",/petition/restore-net-neutrality-directing-fcc-classify-internet-providers-common-carriers,goal,https://petitions.whitehouse.gov/responses?page=4,
signed,100000,authorize the FDA to grant a compassionate use exemption to Refael Elisha Cohen for Antineoplaston therapy.,102215,authorize the FDA to grant a compassionate use exemption to Refael Elisha Cohen for Antineoplaston therapy.,https://petitions.whitehouse.gov/petition/authorize-fda-grant-compassionate-use-exemption-refael-elisha-cohen-antineoplaston-therapy,"102,215",View,"100,000",/petition/authorize-fda-grant-compassionate-use-exemption-refael-elisha-cohen-antineoplaston-therapy,goal,https://petitions.whitehouse.gov/responses?page=4,Health Care
signed,25000,vigorously enforce US laws to seek the return of US citizens' properties expropriated by the Vietnamese government.,27729,vigorously enforce US laws to seek the return of US citizens' properties expropriated by the Vietnamese government.,https://petitions.whitehouse.gov/petition/vigorously-enforce-us-laws-seek-return-us-citizens-properties-expropriated-vietnamese,"27,729",View,"25,000",/petition/vigorously-enforce-us-laws-seek-return-us-citizens-properties-expropriated-vietnamese,goal,https://petitions.whitehouse.gov/responses?page=4,Foreign Policy
signed,25000,Recognize pharmacists as health care providers!,39568,Recognize pharmacists as health care providers!,https://petitions.whitehouse.gov/petition/recognize-pharmacists-health-care-providers-1,"39,568",View,"25,000",/petition/recognize-pharmacists-health-care-providers-1,goal,https://petitions.whitehouse.gov/responses?page=4,Health Care
signed,25000,Include Licensed Naturopathic Physicians as primary care providers in the Federal Healthcare Law (Obamacare).,31627,Include Licensed Naturopathic Physicians as primary care providers in the Federal Healthcare Law (Obamacare).,https://petitions.whitehouse.gov/petition/include-licensed-naturopathic-physicians-primary-care-providers-federal-healthcare-law,"31,627",View,"25,000",/petition/include-licensed-naturopathic-physicians-primary-care-providers-federal-healthcare-law,goal,https://petitions.whitehouse.gov/responses?page=4,Health Care
signed,100000,Investigate Jimmy Kimmel Kid's Table Government Shutdown Show on ABC Network,105111,Investigate Jimmy Kimmel Kid's Table Government Shutdown Show on ABC Network,https://petitions.whitehouse.gov/petition/investigate-jimmy-kimmel-kids-table-government-shutdown-show-abc-network,"105,111",View,"100,000",/petition/investigate-jimmy-kimmel-kids-table-government-shutdown-show-abc-network,goal,https://petitions.whitehouse.gov/responses?page=4,
